thetype,subtype,content_type,name,file_type,description,github_add
mp3,source,mp3,audio,audio_stereo,Stereo mix of the recording,FALSE
pitch,pitch,txt,pitch,descriptor,Automatically extracted predominant melody,FALSE
ctonic,tonic,txt,tonic,descriptor,Automatically extracted tonic of the recording,TRUE
sama-manual,source,txt,sama,annotation,Manually annotated sama locations,TRUE
bpm-manual,source,txt,bpm,annotation,Manually annotated BPM,TRUE
tempo-manual,source,txt,tempo,annotation,Manually annotated tempo of the recording,TRUE
sections-manual-p,source,txt,sections,annotation,Manually annotated sections in the recording,TRUE
mphrases-manual,source,txt,phrases,annotation,Manually annotated melodic phrases,TRUE
multitrack-vocal,source,mp3,vocal,multitrack,Channel corresponding to  vocals,FALSE
multitrack-vocal-s,source,mp3,vocal_s,multitrack,Channel corresponding to secondary vocals (if present),FALSE
multitrack-violin,source,mp3,violin,multitrack,Channel corresponding to  Violin,FALSE
multitrack-ghatam,source,mp3,ghatam,multitrack,Channel corresponding to  Ghatam,FALSE
multitrack-mridangam-left,source,mp3,mridangam_left,multitrack,Channel corresponding to  the left side of Mridangam,FALSE
multitrack-mridangam-right,source,mp3,mridangam_right,multitrack,Channel corresponding to  the right side of Mridangam,FALSE
